What_is_your_educational_level?,Provide_physical_therapy_to_people_recovering_from_an_injury,Create_special_effects_for_movies/_edit_movies,Give_career_guidance_to_people,Manage_a_department_within_a_large_company,Manage_the_operations_of_a_hotel,Study_the_movement_of_planets,Load_computer_software_into_a_large_computer_network,Assemble_electronic_parts,Draw_pictures,Compute_and_record_statistical_and_other_numerical_data,Write_a_song,Act_in_a_play,Study_space_travel,Conduct_chemical_experiments,Develop_a_new_medicine,Play_a_musical_instrument,Organize_and_schedule_office_meetings,Teach_an_individual_or_a_group_of_students,Handle_customers_bank_transactions,Assemble_Products_in_a_Factory,Manage_a_supermarket,Buy_and_sell_land,Want_to_serve_the_motherland_with_prestige,Write_books_or_plays,Teach_children_how_to_play_sports,Perform_comedy_routines_in_front_of_an_audience,Perform_nursing_duties_in_a_hospital,Write_scripts_for_movies_or_television_shows,Test_the_quality_of_parts_before_shipment,Start_your_own_business,Catch_fish_as_a_member_of a_fishing_crew,Help_elderly_people_with_their_daily_activities,Sell_computer_equipment_in_a_store,Develop_a_way_to_better_predict_the_weather,Do_laboratory_tests_to_identify_diseases,Study_ways_to_reduce_water_pollution,Sell_automobiles,Investigate_crimes,Teach_a_high-school_class,Market_a_new_line_of_clothing,Audition_singers_and_musicians_for_a_musical_show,Maintain_network_hardware_and_software,Set_up_and_operate_machines_to_make_products,Give_a_presentation_of_a_product_you_are_selling,Spray_trees_to_prevent_the_spread_of_harmful_insects,Knowledge_of_marketing_strategy,Keep_records_for_financial_transactions_for_an_organization,Teach_sign_language_to_people_with_hearing_disabilities,Loves_to_know_about_new_technology,Interest_to_know_how_computer_works,Career
post_graduation,dislike,strongly dislike,unsure,like,dislike,unsure,dislike,dislike,like,like,like,dislike,like,like,dislike,like,dislike,unsure,dislike,strongly dislike,like,unsure,dislike,strongly dislike,strongly dislike,dislike,strongly dislike,strongly dislike,strongly dislike,strongly like,like,like,like,like,like,like,like,like,dislike,strongly dislike,unsure,strongly like,strongly like,strongly like,strongly like,strongly like,strongly like,like,strongly like,strongly like,Startup
post_graduation,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly like,like,like,like,like,strongly like,unsure,strongly like,dislike,strongly like,like,like,strongly dislike,unsure,like,strongly like,like,strongly dislike,strongly dislike,strongly dislike,unsure,unsure,unsure,strongly like,like,like,strongly dislike,strongly like,strongly like,like,dislike,dislike,strongly like,dislike,strongly dislike,strongly dislike,like,strongly like,strongly like,strongly like,strongly like,strongly dislike,strongly like,strongly like,Startup
professional,strongly dislike,strongly dislike,strongly dislike,like,strongly dislike,unsure,unsure,like,like,like,dislike,dislike,dislike,dislike,dislike,dislike,like,unsure,like,like,like,dislike,strongly like,dislike,unsure,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly like,unsure,unsure,unsure,like,unsure,like,dislike,unsure,dislike,dislike,dislike,like,dislike,like,unsure,like,like,dislike,like,like,Startup
professional,dislike,strongly dislike,like,like,like,dislike,like,dislike,like,like,unsure,like,dislike,like,dislike,dislike,like,dislike,dislike,dislike,dislike,dislike,dislike,unsure,unsure,dislike,dislike,dislike,dislike,strongly like,like,like,dislike,like,dislike,strongly like,dislike,dislike,dislike,dislike,dislike,like,like,strongly like,dislike,strongly like,strongly like,dislike,strongly like,strongly like,Startup
professional,dislike,dislike,dislike,like,like,like,dislike,like,like,like,like,dislike,dislike,dislike,dislike,strongly dislike,strongly like,unsure,unsure,dislike,dislike,dislike,like,dislike,unsure,dislike,strongly dislike,strongly dislike,strongly dislike,like,like,like,dislike,like,like,strongly like,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,dislike,like,strongly like,strongly like,strongly like,dislike,strongly like,strongly like,Startup
post_graduation,like,dislike,unsure,dislike,strongly dislike,strongly dislike,strongly dislike,dislike,unsure,dislike,dislike,unsure,dislike,dislike,dislike,dislike,dislike,dislike,dislike,dislike,dislike,dislike,unsure,dislike,like,like,dislike,dislike,unsure,unsure,unsure,unsure,dislike,dislike,dislike,dislike,dislike,dislike,dislike,dislike,dislike,dislike,dislike,dislike,unsure,dislike,dislike,dislike,dislike,dislike,Sports
post_intermediate,dislike,dislike,dislike,dislike,dislike,dislike,unsure,dislike,dislike,like,dislike,dislike,dislike,dislike,dislike,dislike,dislike,dislike,dislike,dislike,dislike,dislike,dislike,dislike,dislike,dislike,dislike,dislike,dislike,dislike,dislike,unsure,dislike,unsure,dislike,dislike,dislike,strongly dislike,strongly dislike,unsure,dislike,dislike,dislike,dislike,dislike,dislike,like,dislike,dislike,unsure,Commerce
post_matric,like,dislike,dislike,dislike,dislike,dislike,dislike,dislike,dislike,dislike,dislike,dislike,dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,dislike,strongly like,dislike,dislike,dislike,dislike,dislike,dislike,dislike,dislike,unsure,dislike,dislike,dislike,strongly dislike,strongly dislike,strongly dislike,dislike,strongly dislike,strongly dislike,dislike,dislike,dislike,dislike,strongly dislike,dislike,dislike,dislike,dislike,Defence
post_intermediate,unsure,dislike,dislike,dislike,dislike,dislike,dislike,dislike,dislike,dislike,dislike,dislike,strongly dislike,dislike,strongly dislike,dislike,dislike,strongly dislike,strongly dislike,dislike,dislike,strongly dislike,strongly like,dislike,dislike,dislike,dislike,dislike,dislike,dislike,dislike,dislike,dislike,dislike,dislike,dislike,dislike,dislike,strongly dislike,dislike,dislike,dislike,dislike,dislike,strongly dislike,strongly dislike,dislike,dislike,dislike,dislike,Defence
post_intermediate,dislike,dislike,dislike,dislike,dislike,dislike,dislike,dislike,dislike,dislike,dislike,dislike,dislike,dislike,dislike,dislike,dislike,dislike,dislike,dislike,dislike,dislike,strongly like,dislike,unsure,unsure,dislike,dislike,unsure,unsure,strongly dislike,unsure,strongly dislike,dislike,dislike,dislike,dislike,dislike,strongly dislike,dislike,dislike,dislike,strongly dislike,strongly dislike,dislike,dislike,dislike,dislike,unsure,unsure,Defence
post_intermediate,unsure,dislike,dislike,unsure,dislike,unsure,unsure,dislike,dislike,strongly like,strongly dislike,dislike,dislike,unsure,dislike,dislike,unsure,unsure,like,dislike,dislike,dislike,unsure,dislike,unsure,dislike,dislike,dislike,dislike,unsure,dislike,unsure,dislike,dislike,dislike,dislike,strongly dislike,strongly dislike,dislike,dislike,dislike,unsure,strongly dislike,dislike,unsure,dislike,like,unsure,dislike,dislike,Commerce
post_intermediate,strongly dislike,dislike,dislike,strongly dislike,dislike,dislike,dislike,dislike,unsure,unsure,dislike,dislike,dislike,unsure,dislike,dislike,unsure,strongly dislike,unsure,dislike,dislike,dislike,unsure,dislike,like,dislike,dislike,dislike,dislike,dislike,dislike,unsure,strongly dislike,dislike,unsure,dislike,dislike,dislike,strongly dislike,dislike,dislike,dislike,unsure,unsure,dislike,dislike,unsure,unsure,dislike,dislike,Sports
professional,dislike,strongly dislike,dislike,dislike,dislike,dislike,dislike,dislike,unsure,dislike,dislike,dislike,unsure,dislike,dislike,dislike,unsure,unsure,dislike,unsure,dislike,dislike,strongly dislike,strongly dislike,strongly like,dislike,dislike,dislike,dislike,dislike,dislike,unsure,dislike,strongly dislike,strongly dislike,strongly dislike,dislike,strongly dislike,strongly dislike,unsure,dislike,dislike,dislike,dislike,unsure,dislike,dislike,dislike,dislike,unsure,
post_matric,strongly dislike,strongly like,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly like,strongly dislike,strongly dislike,strongly like,strongly dislike,strongly dislike,strongly dislike,like,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,like,unsure,strongly like,unsure,strongly like,like,unsure,unsure,unsure,unsure,unsure,unsure,unsure,dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,unsure,strongly dislike,strongly dislike,strongly dislike,Arts
post_intermediate,strongly dislike,dislike,dislike,strongly dislike,unsure,unsure,dislike,dislike,dislike,like,unsure,dislike,dislike,dislike,dislike,dislike,strongly dislike,dislike,like,dislike,dislike,dislike,dislike,dislike,unsure,dislike,unsure,dislike,dislike,dislike,dislike,unsure,unsure,unsure,strongly dislike,dislike,dislike,dislike,dislike,unsure,dislike,strongly dislike,strongly dislike,dislike,strongly dislike,dislike,like,dislike,strongly dislike,dislike,Commerce
post_intermediate,dislike,dislike,strongly dislike,dislike,dislike,dislike,dislike,dislike,strongly dislike,strongly like,unsure,dislike,dislike,strongly dislike,dislike,dislike,dislike,unsure,like,dislike,unsure,dislike,dislike,dislike,dislike,dislike,dislike,dislike,dislike,dislike,dislike,strongly dislike,strongly dislike,unsure,dislike,dislike,dislike,unsure,unsure,strongly dislike,dislike,unsure,dislike,dislike,unsure,dislike,like,unsure,dislike,dislike,Commerce
post_matric,dislike,dislike,dislike,dislike,unsure,dislike,strongly dislike,dislike,unsure,strongly dislike,dislike,dislike,unsure,dislike,dislike,dislike,dislike,dislike,dislike,unsure,dislike,dislike,strongly like,dislike,dislike,strongly dislike,dislike,unsure,dislike,dislike,dislike,dislike,unsure,dislike,unsure,dislike,dislike,unsure,unsure,dislike,strongly dislike,dislike,dislike,unsure,dislike,dislike,unsure,dislike,unsure,dislike,Defence
post_matric,dislike,unsure,dislike,strongly dislike,dislike,unsure,dislike,dislike,dislike,dislike,strongly dislike,dislike,dislike,strongly dislike,dislike,dislike,dislike,dislike,strongly dislike,dislike,dislike,dislike,strongly like,dislike,strongly dislike,dislike,unsure,strongly dislike,dislike,dislike,unsure,dislike,strongly dislike,dislike,dislike,dislike,unsure,dislike,dislike,strongly dislike,dislike,dislike,dislike,strongly dislike,dislike,dislike,dislike,dislike,strongly dislike,strongly dislike,Defence
post_intermediate,dislike,unsure,unsure,dislike,dislike,unsure,dislike,dislike,unsure,strongly like,dislike,unsure,unsure,strongly dislike,dislike,dislike,dislike,strongly dislike,like,dislike,strongly dislike,strongly dislike,dislike,strongly dislike,strongly dislike,strongly dislike,dislike,dislike,dislike,dislike,unsure,dislike,dislike,dislike,dislike,strongly dislike,strongly dislike,strongly dislike,dislike,strongly dislike,dislike,strongly dislike,strongly dislike,strongly dislike,dislike,unsure,like,dislike,strongly dislike,strongly dislike,Commerce
post_graduation,dislike,dislike,strongly dislike,dislike,dislike,unsure,dislike,strongly dislike,dislike,like,strongly dislike,strongly dislike,dislike,unsure,dislike,dislike,unsure,dislike,strongly like,dislike,dislike,dislike,dislike,unsure,dislike,dislike,dislike,dislike,unsure,strongly dislike,dislike,dislike,dislike,strongly dislike,unsure,strongly dislike,dislike,strongly dislike,dislike,strongly dislike,unsure,strongly dislike,strongly dislike,dislike,unsure,dislike,like,dislike,dislike,unsure,Commerce
professional,strongly dislike,strongly dislike,dislike,dislike,unsure,dislike,dislike,unsure,dislike,dislike,dislike,dislike,dislike,dislike,dislike,dislike,unsure,strongly dislike,unsure,strongly dislike,dislike,unsure,dislike,dislike,strongly like,dislike,dislike,dislike,dislike,dislike,dislike,unsure,dislike,unsure,strongly dislike,dislike,dislike,strongly dislike,strongly dislike,dislike,dislike,dislike,unsure,strongly dislike,strongly dislike,dislike,dislike,unsure,dislike,strongly dislike,Sports
post_matric,dislike,dislike,dislike,dislike,dislike,dislike,unsure,strongly dislike,dislike,strongly dislike,dislike,dislike,dislike,strongly dislike,dislike,dislike,unsure,unsure,strongly dislike,dislike,unsure,dislike,strongly dislike,dislike,strongly like,dislike,unsure,unsure,dislike,unsure,unsure,dislike,dislike,unsure,unsure,dislike,unsure,dislike,dislike,unsure,dislike,unsure,unsure,unsure,unsure,dislike,dislike,unsure,unsure,dislike,Sports
post_intermediate,strongly dislike,dislike,dislike,strongly dislike,strongly dislike,dislike,dislike,dislike,unsure,strongly like,dislike,unsure,unsure,dislike,unsure,dislike,unsure,strongly dislike,like,dislike,unsure,unsure,dislike,dislike,dislike,dislike,dislike,dislike,unsure,dislike,dislike,unsure,dislike,like,unsure,unsure,dislike,unsure,strongly dislike,dislike,dislike,dislike,dislike,dislike,dislike,dislike,like,dislike,dislike,dislike,Commerce
post_matric,strongly dislike,unsure,like,strongly like,strongly like,dislike,dislike,strongly dislike,unsure,unsure,unsure,unsure,dislike,strongly dislike,strongly dislike,dislike,strongly like,unsure,strongly like,like,strongly like,unsure,unsure,dislike,dislike,unsure,strongly dislike,dislike,unsure,strongly like,dislike,like,strongly like,strongly dislike,strongly dislike,dislike,strongly dislike,dislike,unsure,strongly like,strongly dislike,unsure,like,strongly like,dislike,strongly like,strongly like,dislike,unsure,unsure,Management
post_matric,strongly dislike,dislike,unsure,strongly like,strongly like,unsure,unsure,unsure,strongly dislike,strongly dislike,strongly dislike,dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,like,unsure,strongly like,strongly like,strongly like,like,unsure,dislike,dislike,unsure,unsure,dislike,dislike,strongly like,unsure,strongly like,unsure,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,unsure,unsure,dislike,unsure,dislike,dislike,dislike,strongly like,strongly like,unsure,like,unsure,Management
post_matric,dislike,like,dislike,strongly dislike,strongly dislike,dislike,dislike,dislike,like,strongly dislike,strongly like,strongly like,strongly dislike,strongly dislike,strongly dislike,strongly like,strongly dislike,dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,unsure,like,dislike,strongly like,dislike,strongly like,strongly dislike,unsure,strongly dislike,unsure,strongly dislike,dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,unsure,strongly like,strongly dislike,strongly dislike,strongly dislike,dislike,dislike,strongly dislike,unsure,unsure,dislike,Media and Entertainment
post_intermediate,dislike,dislike,unsure,dislike,dislike,dislike,unsure,dislike,dislike,like,dislike,dislike,unsure,dislike,dislike,dislike,unsure,dislike,strongly like,dislike,dislike,unsure,unsure,unsure,unsure,unsure,unsure,unsure,dislike,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,dislike,unsure,unsure,dislike,unsure,unsure,unsure,like,unsure,dislike,dislike,Commerce
post_matric,dislike,dislike,dislike,dislike,unsure,dislike,unsure,dislike,unsure,unsure,unsure,dislike,unsure,unsure,unsure,dislike,unsure,unsure,unsure,dislike,unsure,unsure,strongly like,dislike,unsure,unsure,dislike,dislike,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,dislike,unsure,unsure,dislike,unsure,dislike,dislike,dislike,dislike,dislike,dislike,unsure,dislike,unsure,Defence
post_graduation,strongly dislike,dislike,dislike,dislike,dislike,dislike,dislike,dislike,unsure,dislike,unsure,unsure,dislike,unsure,unsure,dislike,dislike,unsure,unsure,unsure,dislike,dislike,dislike,dislike,strongly like,unsure,dislike,dislike,unsure,unsure,dislike,unsure,unsure,dislike,dislike,unsure,unsure,unsure,dislike,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,dislike,Sports
post_intermediate,dislike,unsure,dislike,strongly dislike,unsure,dislike,strongly dislike,dislike,dislike,like,dislike,dislike,unsure,dislike,dislike,dislike,dislike,dislike,like,dislike,unsure,dislike,dislike,unsure,unsure,unsure,dislike,dislike,unsure,unsure,unsure,unsure,dislike,unsure,dislike,unsure,dislike,dislike,dislike,dislike,dislike,unsure,unsure,dislike,dislike,unsure,strongly like,dislike,dislike,unsure,Commerce
post_matric,strongly dislike,dislike,dislike,dislike,dislike,dislike,dislike,unsure,dislike,unsure,dislike,dislike,dislike,unsure,dislike,unsure,unsure,dislike,unsure,unsure,dislike,dislike,unsure,unsure,strongly like,dislike,dislike,dislike,dislike,unsure,dislike,dislike,unsure,dislike,unsure,unsure,dislike,unsure,dislike,unsure,dislike,dislike,dislike,dislike,unsure,dislike,dislike,dislike,dislike,dislike,Sports
post_matric,dislike,dislike,unsure,dislike,unsure,dislike,unsure,dislike,unsure,unsure,dislike,unsure,unsure,dislike,dislike,unsure,dislike,unsure,dislike,unsure,unsure,dislike,dislike,dislike,strongly like,dislike,dislike,unsure,unsure,dislike,unsure,dislike,dislike,strongly dislike,unsure,unsure,unsure,dislike,dislike,unsure,dislike,unsure,unsure,dislike,dislike,unsure,unsure,unsure,dislike,dislike,Sports
post_matric,dislike,dislike,unsure,dislike,unsure,strongly dislike,dislike,unsure,unsure,dislike,unsure,unsure,dislike,dislike,unsure,unsure,dislike,dislike,unsure,unsure,unsure,unsure,strongly like,dislike,unsure,unsure,unsure,dislike,unsure,unsure,dislike,unsure,dislike,dislike,unsure,unsure,unsure,dislike,unsure,dislike,unsure,dislike,dislike,unsure,unsure,unsure,dislike,unsure,unsure,dislike,Defence
post_intermediate,dislike,dislike,dislike,dislike,unsure,dislike,dislike,unsure,unsure,strongly like,unsure,dislike,dislike,unsure,unsure,unsure,dislike,dislike,like,unsure,unsure,unsure,dislike,dislike,unsure,dislike,unsure,dislike,unsure,unsure,dislike,unsure,dislike,dislike,unsure,unsure,dislike,unsure,unsure,dislike,dislike,unsure,unsure,dislike,unsure,unsure,strongly like,dislike,unsure,unsure,Commerce
post_intermediate,unsure,unsure,unsure,dislike,unsure,unsure,dislike,unsure,dislike,strongly like,unsure,dislike,dislike,dislike,unsure,unsure,dislike,unsure,strongly like,dislike,dislike,unsure,dislike,dislike,unsure,dislike,dislike,dislike,unsure,unsure,unsure,unsure,dislike,dislike,unsure,dislike,unsure,unsure,unsure,dislike,dislike,unsure,dislike,dislike,unsure,unsure,like,unsure,dislike,dislike,Commerce
post_matric,dislike,unsure,dislike,unsure,dislike,unsure,unsure,dislike,unsure,dislike,dislike,unsure,unsure,unsure,dislike,unsure,dislike,dislike,unsure,dislike,unsure,unsure,strongly like,dislike,dislike,unsure,dislike,unsure,unsure,dislike,dislike,unsure,unsure,unsure,unsure,dislike,unsure,unsure,dislike,unsure,unsure,dislike,unsure,dislike,dislike,dislike,unsure,dislike,unsure,unsure,Defence
